sku,track_id,audio,lyrics,cover
HAWK-M-09,avalanche,assets/tracks/HAWK-M-09/avalanche.mp3,assets/tracks/HAWK-M-09/avalanche.md,assets/tracks/HAWK-M-09/cover.png
HAWK-M-10,artificial_intelligence,assets/tracks/HAWK-M-10/artificial_intelligence.mp3,assets/tracks/HAWK-M-10/artificial_intelligence.md,assets/tracks/HAWK-M-10/cover.png
HAWK-M-11,legion,assets/tracks/HAWK-M-11/legion.mp3,assets/tracks/HAWK-M-11/legion.md,assets/tracks/HAWK-M-11/cover.png
HAWK-M-12,when_my_elites_surround,assets/tracks/HAWK-M-12/when_my_elites_surround.mp3,assets/tracks/HAWK-M-12/when_my_elites_surround.md,assets/tracks/HAWK-M-12/cover.png
HAWK-M-13,reincarnated_2_resist,assets/tracks/HAWK-M-13/reincarnated_2_resist.mp3,assets/tracks/HAWK-M-13/reincarnated_2_resist.md,assets/tracks/HAWK-M-13/cover.png
HAWK-ME-01,malicious,assets/tracks/HAWK-ME-01/malicious.mp3,assets/tracks/HAWK-ME-01/malicious.md,assets/tracks/HAWK-ME-01/cover.png
HAWK-ME-02,gang_shit,assets/tracks/HAWK-ME-02/gang_shit.mp3,assets/tracks/HAWK-ME-02/gang_shit.md,assets/tracks/HAWK-ME-02/cover.png
HAWK-ME-03,the_motherfucking_problem,assets/tracks/HAWK-ME-03/the_motherfucking_problem.mp3,assets/tracks/HAWK-ME-03/the_motherfucking_problem.md,assets/tracks/HAWK-ME-03/cover.png
HAWK-ME-04,im_him,assets/tracks/HAWK-ME-04/im_him.mp3,assets/tracks/HAWK-ME-04/im_him.md,assets/tracks/HAWK-ME-04/cover.png
HAWK-SB-01,psychological_warfare,assets/tracks/HAWK-SB-01/psychological_warfare.mp3,assets/tracks/HAWK-SB-01/psychological_warfare.md,assets/tracks/HAWK-SB-01/cover.png
HAWK-SB-02,down_the_rabbit_hole,assets/tracks/HAWK-SB-02/down_the_rabbit_hole.mp3,assets/tracks/HAWK-SB-02/down_the_rabbit_hole.md,assets/tracks/HAWK-SB-02/cover.png
HAWK-SB-03,domestic_terrorist,assets/tracks/HAWK-SB-03/domestic_terrorist.mp3,assets/tracks/HAWK-SB-03/domestic_terrorist.md,assets/tracks/HAWK-SB-03/cover.png
HAWK-SB-04,relentless,assets/tracks/HAWK-SB-04/relentless.mp3,assets/tracks/HAWK-SB-04/relentless.md,assets/tracks/HAWK-SB-04/cover.png
HAWK-SB-05,never_heard_of_me,assets/tracks/HAWK-SB-05/never_heard_of_me.mp3,assets/tracks/HAWK-SB-05/never_heard_of_me.md,assets/tracks/HAWK-SB-05/cover.png
HAWK-SB-06,spiteful_poetry,assets/tracks/HAWK-SB-06/spiteful_poetry.mp3,assets/tracks/HAWK-SB-06/spiteful_poetry.md,assets/tracks/HAWK-SB-06/cover.png
HAWK-SB-07,the_devils_in_the_details,assets/tracks/HAWK-SB-07/the_devils_in_the_details.mp3,,assets/tracks/HAWK-SB-07/cover.png
HAWK-SB-08,the_game,assets/tracks/HAWK-SB-08/the_game.mp3,assets/tracks/HAWK-SB-08/the_game.md,assets/tracks/HAWK-SB-08/cover.png
HAWK-SB-09,the_shadow_is_rising,assets/tracks/HAWK-SB-09/the_shadow_is_rising.mp3,assets/tracks/HAWK-SB-09/the_shadow_is_rising.md,assets/tracks/HAWK-SB-09/cover.png
HAWK-SB-10,when_shit_gets_real,assets/tracks/HAWK-SB-10/when_shit_gets_real.mp3,assets/tracks/HAWK-SB-10/when_shit_gets_real.md,assets/tracks/HAWK-SB-10/cover.png
HAWK-SB-11,synthesis,assets/tracks/HAWK-SB-11/synthesis.mp3,assets/tracks/HAWK-SB-11/synthesis.md,assets/tracks/HAWK-SB-11/cover.png
HAWK-SB-12,invokation,assets/tracks/HAWK-SB-12/invokation.mp3,assets/tracks/HAWK-SB-12/invokation.md,assets/tracks/HAWK-SB-12/cover.png
HAWK-SB-13,krystal_klear,assets/tracks/HAWK-SB-13/krystal_klear.mp3,assets/tracks/HAWK-SB-13/krystal_klear.md,assets/tracks/HAWK-SB-13/cover.png
HAWK-SG-01,will_you_listen,assets/tracks/HAWK-SG-01/will_you_listen.mp3,assets/tracks/HAWK-SG-01/will_you_listen.md,assets/tracks/HAWK-SG-01/cover.png
HAWK-SG-02,psyops,assets/tracks/HAWK-SG-02/psyops.mp3,assets/tracks/HAWK-SG-02/psyops.md,assets/tracks/HAWK-SG-02/cover.png
HAWK-SG-03,Incantations,assets/tracks/HAWK-SG-03/Incantations.mp3,assets/tracks/HAWK-SG-03/Incantations.md,assets/tracks/HAWK-SG-03/cover.png
HAWK-SG-04,MindControl,assets/tracks/HAWK-SG-04/MindControl.mp3,,assets/tracks/HAWK-SG-04/cover.png
HAWK-SG-05,return_of_kings,assets/tracks/HAWK-SG-05/return_of_kings.mp3,assets/tracks/HAWK-SG-05/return_of_kings.md,assets/tracks/HAWK-SG-05/cover.png
HAWK-SG-06,politicians,assets/tracks/HAWK-SG-06/politicians.mp3,assets/tracks/HAWK-SG-06/politicians.md,assets/tracks/HAWK-SG-06/cover.png
